Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
129,0.991400,0.982335,0.986401,0.992031,0.994775,1.271578,2.143877,0.850813,0.988734,0.994394,0.996817,44.776918,47.584688,47.734109,96.674919,
130,0.990670,0.981066,0.986146,0.990622,0.994460,1.271578,1.271578,0.850210,0.986405,0.992323,0.995008,44.676676,47.608325,47.865579,96.266804,
131,0.991612,0.982906,0.987250,0.992534,0.994468,1.608721,1.608721,0.860953,0.990179,0.994559,0.995872,45.325860,47.815571,48.382670,97.110532,
132,0.991711,0.982834,0.986516,0.992554,0.994918,0.954166,1.863452,0.863431,0.990814,0.995148,0.996506,45.492131,47.616233,48.033875,96.338330,
133,0.993044,0.986560,0.988490,0.993481,0.995806,0.954166,0.954166,0.884207,0.992531,0.996037,0.997156,46.441884,48.823409,48.878425,96.732224,
134,0.992480,0.983676,0.987589,0.993281,0.995648,1.114537,1.114537,0.865254,0.991676,0.995594,0.996742,45.519941,47.567796,48.031195,96.764462,
135,0.990660,0.980734,0.985530,0.989857,0.995300,1.353675,1.353675,0.849747,0.988628,0.994021,0.996197,44.765849,47.671995,48.098027,96.555702,
136,0.992895,0.985126,0.989080,0.992625,0.996167,1.226120,1.669822,0.876673,0.991688,0.995574,0.997094,46.029869,48.578793,48.879239,97.033806,
137,0.991751,0.984562,0.987033,0.992089,0.994787,1.226120,1.226120,0.873793,0.990689,0.994839,0.996601,45.783066,48.573477,48.889023,96.706181,
138,0.991542,0.983000,0.986838,0.992318,0.994552,1.279552,1.295776,0.859072,0.988851,0.993884,0.995429,45.156207,47.725360,47.868159,96.583994,
139,0.992383,0.984710,0.987990,0.992460,0.995593,0.933398,1.279552,0.878164,0.992300,0.995772,0.997362,46.159173,48.585638,48.808962,96.562639,
140,0.991652,0.983404,0.987773,0.991338,0.995094,0.933398,0.933398,0.874783,0.991254,0.995103,0.996630,45.977474,48.604707,49.075809,96.308836,
141,0.991668,0.983388,0.986518,0.991628,0.995412,1.081744,1.875609,0.856348,0.990056,0.994658,0.996228,45.115451,47.754175,48.220138,96.451490,
142,0.992132,0.984169,0.987856,0.992609,0.995109,0.700340,1.081744,0.865828,0.990933,0.995202,0.996898,45.556351,47.813022,48.121218,96.123649,
143,0.993150,0.985903,0.989715,0.993336,0.995872,0.700340,0.700340,0.883260,0.993460,0.996313,0.997451,46.470084,48.351548,48.663199,96.453389,
144,0.991938,0.984297,0.988312,0.992829,0.994321,0.868770,0.986740,0.873236,0.992187,0.995943,0.997023,45.958312,48.003150,48.341463,96.357907,
145,0.991901,0.984908,0.988144,0.991854,0.994853,0.868770,0.868770,0.870609,0.991279,0.995443,0.997212,45.752435,47.788881,48.022495,96.337774,
146,0.992125,0.984016,0.987830,0.991701,0.995800,0.665201,1.053577,0.863672,0.990034,0.994710,0.996933,45.411772,47.610757,47.948255,96.050985,
147,0.990522,0.983052,0.985870,0.990889,0.993623,0.665201,0.665201,0.863537,0.989633,0.994199,0.995842,45.421678,47.863645,48.058074,95.589650,
148,0.990532,0.981427,0.984854,0.991068,0.994231,0.891201,1.957079,0.851042,0.988971,0.993879,0.996260,44.927206,47.722239,48.101429,95.911073,
149,0.991636,0.980924,0.985549,0.992381,0.995687,0.891201,0.891201,0.859175,0.991188,0.995234,0.996858,45.285713,47.695494,48.093947,96.271285,
150,0.992057,0.984148,0.988378,0.991984,0.995212,1.032979,1.794518,0.874612,0.991264,0.994863,0.996302,45.921992,48.688844,49.060499,96.494023,
151,0.992260,0.985424,0.989553,0.992338,0.994704,0.909132,1.032979,0.881457,0.991399,0.995694,0.997410,46.219225,48.698207,49.073254,96.499351,
152,0.993465,0.987455,0.990204,0.994344,0.995357,0.719506,0.909132,0.885668,0.992216,0.995801,0.997020,46.435501,48.448540,48.903739,96.484428,
153,0.992278,0.985142,0.987801,0.992495,0.995343,0.719506,0.719506,0.870194,0.990243,0.994614,0.996136,45.619805,47.888856,47.927275,96.090581,
154,0.992106,0.985429,0.988727,0.990857,0.995699,0.805098,0.805098,0.883711,0.990847,0.994918,0.996632,46.205564,48.777824,49.186265,96.225969,
155,0.993184,0.985617,0.989993,0.993594,0.995728,1.053517,1.064617,0.886583,0.993037,0.996043,0.997080,46.631696,48.532683,48.833873,96.893845,
156,0.992335,0.984360,0.987830,0.993229,0.995116,0.904823,1.053517,0.869348,0.992081,0.995722,0.997437,45.810297,47.587711,48.131489,96.515137,
157,0.992378,0.983715,0.988239,0.993565,0.994975,0.904823,0.904823,0.867472,0.991863,0.995730,0.997263,45.776185,47.534209,48.099387,96.509664,
158,0.991602,0.981672,0.987357,0.991482,0.995421,1.031257,1.031257,0.860413,0.990140,0.994901,0.996736,45.366472,47.769916,48.014480,96.421727,
159,0.990927,0.981642,0.986718,0.991228,0.994259,1.791347,1.914143,0.851306,0.989116,0.994113,0.995657,44.929911,47.660908,48.265150,97.158764,
160,0.991617,0.983717,0.987693,0.991334,0.994981,0.754680,1.791347,0.863779,0.990948,0.995333,0.996612,45.551334,47.638207,47.905093,96.067431,
161,0.991112,0.982022,0.986698,0.991518,0.994446,0.754680,0.754680,0.859133,0.990623,0.995245,0.996639,45.252200,47.730357,48.217340,95.953885,
162,0.991981,0.982428,0.986581,0.992619,0.995576,1.044076,2.344682,0.858873,0.991385,0.995553,0.997230,45.290344,47.785714,48.074958,96.596407,
163,0.991692,0.982465,0.987055,0.992428,0.994865,1.044076,1.044076,0.856524,0.990171,0.994379,0.995742,45.189594,47.460748,48.047975,96.355588,
164,0.990531,0.980135,0.985753,0.991181,0.994089,2.125875,2.218083,0.851156,0.989468,0.994193,0.995907,44.897316,47.721615,48.117800,97.540040,
165,0.992232,0.983905,0.988254,0.992707,0.995138,1.456308,2.125875,0.864924,0.989018,0.994221,0.995927,45.247963,47.470746,48.146597,97.027205,
166,0.991087,0.982396,0.987842,0.989313,0.995377,1.456308,1.456308,0.857248,0.988239,0.994040,0.995885,44.787698,47.471924,48.126693,96.760633,
167,0.989601,0.980750,0.984800,0.990296,0.992811,1.673759,1.673759,0.845973,0.985804,0.992685,0.994722,44.297218,47.204687,47.879142,96.557832,
