Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
114,0.572093,0.627786,0.456483,0.525345,0.654763,6.542835,6.542835,0.058939,0.167062,0.240013,0.287648,16.331670,20.656103,21.204999,0.523939,7.253442,
115,0.562884,0.624654,0.458167,0.503135,0.648748,6.841133,7.047639,0.057336,0.164507,0.237240,0.284651,16.279947,20.776522,21.177614,0.519421,6.712562,
116,0.576405,0.632691,0.464860,0.511343,0.672556,6.690120,6.841133,0.057102,0.163949,0.237201,0.285834,16.280165,20.783547,21.165876,0.519410,7.979157,
117,0.563495,0.628348,0.457341,0.501535,0.651466,6.678362,6.690120,0.056092,0.163431,0.236476,0.284470,16.297559,20.788626,21.152688,0.517234,6.751688,
118,0.570657,0.624409,0.445160,0.511464,0.671922,6.547482,6.678362,0.056613,0.166812,0.241176,0.289557,16.350255,20.791616,21.180524,0.519814,7.145977,
119,0.568792,0.624667,0.446939,0.503597,0.668694,6.547482,6.547482,0.056871,0.165455,0.238579,0.284725,16.452526,20.700388,21.109339,0.518010,7.045703,
120,0.563326,0.619284,0.437075,0.505339,0.660031,6.404160,6.596601,0.056061,0.164322,0.237133,0.281070,16.426390,20.670289,21.167109,0.517484,6.501176,
121,0.561475,0.613612,0.437888,0.499188,0.664790,6.404160,6.404160,0.055242,0.165059,0.238786,0.282907,16.344020,20.817815,21.160743,0.517252,6.276482,
122,0.556892,0.622294,0.442350,0.499562,0.644509,6.789361,6.789361,0.054242,0.161754,0.235395,0.280366,16.355664,20.836952,21.159450,0.513041,6.290781,
123,0.570259,0.619301,0.452646,0.517506,0.661989,6.436520,6.791209,0.055066,0.163533,0.237394,0.283984,16.383785,20.719309,21.123893,0.515887,7.252338,
124,0.566286,0.618444,0.453311,0.503900,0.663070,6.436520,6.436520,0.053627,0.160167,0.232404,0.278793,16.353681,20.772185,21.093307,0.513826,7.110628,
125,0.554603,0.616783,0.446438,0.488620,0.650626,6.637302,6.637302,0.054406,0.162725,0.236304,0.285499,16.326628,20.765116,21.110283,0.515285,5.935175,
126,0.560821,0.620774,0.447436,0.501630,0.653167,6.749314,6.798575,0.055023,0.163535,0.236255,0.284130,16.347236,20.871241,21.106057,0.516688,6.548419,
127,0.562481,0.613339,0.453941,0.498335,0.662631,6.571453,6.749314,0.053591,0.163750,0.238103,0.287408,16.269428,20.840144,21.090886,0.513429,6.589756,
128,0.556932,0.618270,0.452476,0.496273,0.646106,6.418475,6.571453,0.053672,0.163753,0.237443,0.285221,16.354926,20.895392,21.094096,0.514261,5.964588,
129,0.550605,0.609750,0.432770,0.489098,0.649636,6.418475,6.418475,0.052510,0.162471,0.236339,0.283227,16.325540,20.890588,21.089186,0.512947,5.451750,
130,0.548026,0.612778,0.435415,0.486964,0.639286,6.424904,6.565057,0.052786,0.161314,0.234593,0.281397,16.304371,20.827351,21.100231,0.507908,5.289816,
131,0.550821,0.612362,0.441526,0.494934,0.641211,6.424904,6.424904,0.051053,0.157371,0.229290,0.273869,16.266859,20.884433,21.102791,0.505477,5.838476,
132,0.548101,0.616080,0.443563,0.490121,0.633418,6.123155,6.657275,0.051769,0.158302,0.231192,0.277315,16.345100,21.028686,21.092324,0.509643,5.324423,
133,0.560573,0.615648,0.445539,0.508736,0.650219,6.123155,6.123155,0.051013,0.156717,0.228804,0.274940,16.348835,21.027261,21.083286,0.506243,6.623565,
134,0.555729,0.607210,0.443073,0.498579,0.652100,6.204433,6.223815,0.050031,0.157530,0.230631,0.278190,16.294480,21.054081,21.081747,0.509528,6.163405,
135,0.549710,0.611896,0.436678,0.484107,0.650506,6.204433,6.204433,0.050679,0.155338,0.225509,0.270833,16.302111,21.104758,21.105632,0.506306,5.769062,
136,0.553398,0.606929,0.444031,0.496070,0.650668,6.263752,6.503900,0.050688,0.156970,0.227742,0.273058,16.253344,21.041079,21.080216,0.505772,6.035150,
137,0.557107,0.604883,0.434972,0.489128,0.669943,6.028029,6.263752,0.050874,0.159148,0.232131,0.280117,16.248672,21.001054,21.117340,0.509429,6.079540,
138,0.541912,0.606383,0.429762,0.491463,0.626238,5.987320,6.028029,0.051502,0.160948,0.233937,0.281212,16.300239,21.059803,21.124304,0.511212,4.505649,
139,0.545297,0.603587,0.423576,0.487624,0.645943,5.987320,5.987320,0.051080,0.159701,0.232016,0.277126,16.257450,21.039850,21.112825,0.505281,4.909333,
140,0.549605,0.606900,0.438423,0.490335,0.644441,5.792538,5.998427,0.051846,0.159507,0.231448,0.275443,16.213086,21.001756,21.151710,0.505921,5.200586,
141,0.538729,0.607357,0.433716,0.488082,0.619941,5.792538,5.792538,0.052151,0.160161,0.232257,0.276545,16.237933,21.137823,21.130312,0.506501,4.145521,
142,0.549150,0.600518,0.426513,0.494345,0.650723,5.669427,5.863647,0.051589,0.159978,0.232506,0.277932,16.265371,21.101457,21.119675,0.507954,5.053844,
143,0.553272,0.599791,0.443753,0.495955,0.651128,5.509978,5.669427,0.050815,0.159058,0.230863,0.275956,16.269035,21.118147,21.166690,0.508109,5.425711,
144,0.559447,0.597138,0.451680,0.510357,0.655589,5.468729,5.509978,0.050085,0.157988,0.230161,0.273181,16.177336,20.998391,21.169433,0.506292,6.049742,
145,0.550687,0.599524,0.431270,0.506240,0.644065,5.468729,5.468729,0.051133,0.159110,0.230760,0.272093,16.255602,20.939770,21.147014,0.507987,5.143961,
146,0.549890,0.600663,0.433017,0.502942,0.645576,5.579163,5.678803,0.049989,0.157741,0.228997,0.271620,16.283568,21.136607,21.141289,0.505553,5.247488,
147,0.552826,0.600535,0.434234,0.507004,0.648840,5.524725,5.579163,0.049837,0.158324,0.230680,0.273529,16.280458,21.290729,21.155728,0.505472,5.437214,
148,0.552699,0.598869,0.427116,0.508694,0.650705,5.524725,5.524725,0.049153,0.156699,0.227956,0.270413,16.271718,21.196446,21.178671,0.501845,5.555617,
149,0.546162,0.606250,0.430142,0.501874,0.633354,5.305277,5.654541,0.049380,0.155514,0.225074,0.265881,16.260915,21.205679,21.217563,0.501147,4.921030,
150,0.584906,0.612426,0.486855,0.537019,0.678702,5.253404,5.305277,0.071845,0.211319,0.277698,0.318400,17.230231,21.172503,21.226869,0.604760,5.146317,
151,0.532489,0.596466,0.421279,0.491907,0.614198,5.026001,5.253404,0.047781,0.152895,0.222608,0.266942,16.244937,21.120462,21.217351,0.501832,3.719079,
152,0.527899,0.595686,0.417980,0.483535,0.611020,5.026001,5.026001,0.047516,0.152158,0.222202,0.266886,16.190524,21.165632,21.224780,0.499730,3.357823,
153,0.531986,0.601216,0.423634,0.486877,0.613573,4.938792,5.104186,0.048068,0.152316,0.220902,0.264785,16.198914,21.127261,21.224620,0.503557,3.680615,
