Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
102,0.988046,0.978601,0.979459,0.988096,0.993351,1.232220,1.232220,0.802286,0.983325,0.991251,0.994058,43.259369,45.197262,45.481597,95.506888,
103,0.988483,0.979358,0.979023,0.989159,0.993552,1.105332,1.260038,0.802776,0.984889,0.992512,0.995210,43.224290,45.083987,45.531416,95.590349,
104,0.988550,0.979661,0.978705,0.988348,0.994277,1.105332,1.105332,0.801332,0.983138,0.991350,0.994243,43.224069,45.149043,45.636658,95.467919,
105,0.988652,0.977758,0.977959,0.989272,0.994512,0.785656,1.845743,0.801136,0.983351,0.991167,0.993858,43.211961,45.022570,45.522383,95.029316,
106,0.988459,0.978674,0.979292,0.988446,0.993985,0.785656,0.785656,0.801772,0.983677,0.991562,0.994108,43.212954,44.971604,45.514121,95.026152,
107,0.988293,0.976744,0.979135,0.988390,0.994096,1.186973,1.186973,0.801534,0.982956,0.991332,0.994458,43.231272,44.999844,45.715333,95.535100,
108,0.988504,0.979247,0.979288,0.988946,0.993553,1.359262,1.529080,0.802201,0.983521,0.991757,0.994779,43.248108,45.216840,45.657163,95.855390,
109,0.988933,0.977792,0.980196,0.988776,0.994586,0.862517,1.359262,0.800154,0.984480,0.992563,0.995421,43.161079,45.178466,45.765934,95.385361,
110,0.988870,0.977874,0.980135,0.989146,0.994179,0.862517,0.862517,0.801925,0.984112,0.991937,0.994463,43.211629,45.131141,45.525392,95.264689,
111,0.989106,0.978423,0.981040,0.988415,0.994771,1.222578,1.222578,0.804093,0.984896,0.992799,0.995628,43.262104,45.029613,45.697682,95.927122,
112,0.988828,0.978856,0.981419,0.988115,0.994100,1.874789,1.987386,0.801756,0.983031,0.990866,0.993720,43.222463,45.188898,45.658326,96.475975,
113,0.988741,0.976620,0.981502,0.988952,0.993828,1.538220,1.874789,0.801636,0.983227,0.991275,0.994220,43.227226,45.111260,45.502130,96.074918,
114,0.988597,0.979951,0.979771,0.988430,0.993797,1.538220,1.538220,0.799851,0.982185,0.990689,0.993996,43.187186,45.039020,45.433081,95.994830,
115,0.989234,0.979138,0.980937,0.988676,0.994885,1.899056,1.899056,0.803271,0.983737,0.991530,0.994640,43.263780,45.063982,45.341969,96.703009,
116,0.988328,0.979122,0.979156,0.988738,0.993565,2.616460,2.822761,0.804274,0.984023,0.991513,0.994069,43.321885,45.067704,45.508121,97.394860,
117,0.988057,0.979193,0.979411,0.988125,0.993308,2.276496,2.616460,0.802780,0.983328,0.990943,0.993620,43.169436,45.074481,45.517499,96.829023,
118,0.989251,0.978059,0.982467,0.989598,0.994191,2.223845,2.276496,0.803733,0.984708,0.991733,0.994490,43.281865,45.209838,45.501381,97.132512,
119,0.988172,0.978949,0.979246,0.987933,0.993875,1.528529,2.223845,0.801998,0.982208,0.990342,0.993343,43.202640,45.121189,45.451165,95.821502,
120,0.987167,0.980144,0.979538,0.986205,0.992403,1.528529,1.528529,0.802753,0.983093,0.991307,0.994044,43.187516,44.963993,45.444513,95.705757,
121,0.988156,0.978600,0.978713,0.988398,0.993788,1.826890,1.826890,0.805055,0.983509,0.991263,0.994320,43.267358,45.111944,45.474527,96.334749,
122,0.988789,0.979003,0.979171,0.989221,0.994341,2.215120,2.654641,0.804028,0.984594,0.992283,0.994868,43.162225,44.998511,45.400425,97.074674,
123,0.988540,0.978747,0.979775,0.988189,0.994383,2.067143,2.215120,0.806359,0.984428,0.991938,0.995103,43.228777,45.062629,45.352802,96.829982,
124,0.988013,0.977365,0.979946,0.987685,0.993672,2.067143,2.067143,0.804058,0.983957,0.991967,0.995783,43.110625,44.934670,45.340166,96.768597,
125,0.988485,0.977932,0.979985,0.988056,0.994396,2.274670,2.337447,0.805019,0.984492,0.992296,0.995523,43.185924,44.941900,45.333322,97.138698,
126,0.988543,0.978578,0.980007,0.988917,0.993835,1.848424,2.274670,0.804223,0.984044,0.991970,0.995047,43.212734,45.115366,45.573055,96.539555,
127,0.989131,0.979420,0.980144,0.988972,0.994849,1.741419,1.848424,0.806540,0.984692,0.992246,0.995173,43.307300,45.130454,45.485696,96.552918,
128,0.989119,0.978294,0.979455,0.990374,0.994206,1.741419,1.741419,0.807465,0.983425,0.991505,0.994380,43.309219,45.054182,45.647092,96.447809,
129,0.988903,0.978469,0.979422,0.989012,0.994587,1.271578,2.143877,0.802541,0.982783,0.991137,0.993493,43.146153,45.182288,45.565075,95.692644,
130,0.988132,0.976754,0.977871,0.989415,0.993431,1.271578,1.271578,0.801855,0.983628,0.991484,0.994209,43.112568,45.232989,45.677765,95.601636,
131,0.988598,0.977375,0.979365,0.989226,0.993987,1.608721,1.608721,0.801060,0.983628,0.991873,0.994460,43.138384,45.064658,45.582193,96.184070,
132,0.988354,0.977758,0.980325,0.988709,0.993290,0.954166,1.863452,0.801364,0.982621,0.990705,0.993271,43.159715,45.082627,45.737398,95.116549,
133,0.988748,0.977926,0.978752,0.989513,0.994196,0.954166,0.954166,0.802737,0.984274,0.992281,0.994593,43.172608,45.144216,45.592497,95.385696,
134,0.988928,0.977062,0.980776,0.989343,0.994242,1.114537,1.114537,0.805104,0.984595,0.992346,0.995209,43.249333,44.976905,45.541977,95.690175,
135,0.988499,0.977491,0.977935,0.990136,0.993602,1.353675,1.353675,0.802310,0.983157,0.990939,0.993289,43.156607,45.294266,45.622785,95.689441,
136,0.989134,0.977630,0.982073,0.988800,0.994438,1.226120,1.669822,0.805003,0.984015,0.992207,0.995157,43.251840,45.103743,45.617018,95.869283,
137,0.988578,0.978670,0.977740,0.989059,0.994314,1.226120,1.226120,0.802729,0.984990,0.992815,0.995813,43.169382,44.926469,45.594790,95.832804,
138,0.988878,0.977225,0.979724,0.989847,0.994032,1.279552,1.295776,0.806188,0.983923,0.991709,0.994163,43.253567,44.988859,45.541222,95.781459,
139,0.988679,0.978303,0.977987,0.989573,0.994154,0.933398,1.279552,0.805567,0.984504,0.992283,0.994897,43.229331,45.043732,45.535562,95.367931,
140,0.988615,0.977077,0.979145,0.989574,0.993877,0.933398,0.933398,0.804164,0.984896,0.992482,0.995144,43.222187,45.081269,45.657939,95.384846,
141,0.989015,0.978849,0.981416,0.988915,0.994114,1.081744,1.875609,0.805140,0.984830,0.992288,0.994653,43.278724,44.936641,45.650575,95.619641,
142,0.988057,0.977068,0.978454,0.988885,0.993384,0.700340,1.081744,0.804453,0.983763,0.991671,0.994683,43.226450,45.069736,45.629331,94.875978,
143,0.988983,0.976884,0.980670,0.989262,0.994490,0.700340,0.700340,0.804240,0.984689,0.992456,0.994897,43.235988,45.078552,45.495399,95.134048,
144,0.988474,0.977121,0.979596,0.988788,0.994011,0.868770,0.986740,0.802349,0.983746,0.991811,0.994584,43.163426,45.044068,45.765138,95.189087,
145,0.988352,0.976799,0.979478,0.988444,0.994079,0.868770,0.868770,0.802774,0.983930,0.991762,0.995067,43.159934,44.991852,45.649414,95.199633,
146,0.989467,0.977773,0.981134,0.989378,0.995176,0.665201,1.053577,0.804640,0.985378,0.992876,0.995714,43.237154,45.194123,45.563936,95.280047,
147,0.989500,0.977131,0.982052,0.990527,0.994242,0.665201,0.665201,0.805271,0.985091,0.992514,0.995330,43.274297,44.908154,45.613561,95.238641,
148,0.987874,0.977035,0.978430,0.988427,0.993310,0.891201,1.957079,0.802774,0.984109,0.992010,0.995012,43.196144,44.897397,45.687517,95.132791,
149,0.988426,0.977476,0.980239,0.988381,0.993853,0.891201,0.891201,0.806858,0.984278,0.992075,0.994480,43.299011,45.103060,45.568873,95.212784,
150,0.988529,0.977965,0.980146,0.988971,0.993631,1.032979,1.794518,0.805529,0.985043,0.992443,0.994941,43.277099,45.134922,45.452274,95.480195,
151,0.988826,0.978330,0.980226,0.989024,0.994141,0.909132,1.032979,0.804228,0.984467,0.992349,0.994995,43.242433,45.240381,45.478991,95.378710,
152,0.988182,0.977073,0.979645,0.989357,0.992910,0.719506,0.909132,0.801162,0.983167,0.991715,0.994155,43.111327,45.160788,45.546889,94.886541,
153,0.988397,0.978268,0.979662,0.988692,0.993631,0.719506,0.719506,0.805001,0.983756,0.992043,0.994958,43.270211,45.201799,45.456345,95.013906,
154,0.988689,0.977997,0.979634,0.987836,0.994964,0.805098,0.805098,0.805227,0.983601,0.992009,0.994970,43.286581,45.192729,45.504750,95.189581,
155,0.988923,0.977265,0.979430,0.989529,0.994539,1.053517,1.064617,0.802862,0.983802,0.992009,0.994789,43.183839,45.047437,45.599379,95.556574,
156,0.988623,0.976555,0.979726,0.989603,0.993858,0.904823,1.053517,0.804237,0.984171,0.992274,0.995063,43.261155,45.179855,45.501381,95.329725,
157,0.988735,0.976382,0.979406,0.990309,0.993782,0.904823,0.904823,0.803487,0.984448,0.992483,0.995259,43.245437,45.128393,45.502130,95.380422,
158,0.987498,0.979194,0.977886,0.987951,0.992522,1.031257,1.031257,0.801649,0.982524,0.991290,0.994299,43.168562,45.089428,45.445251,95.139972,
159,0.988228,0.978252,0.977736,0.988459,0.994026,1.791347,1.914143,0.801771,0.983195,0.991864,0.994896,43.163099,45.107158,45.544243,96.375483,
160,0.988290,0.978051,0.978032,0.988225,0.994330,0.754680,1.791347,0.802380,0.982558,0.991546,0.995107,43.147513,45.007518,45.524264,95.022191,
161,0.988970,0.979210,0.980116,0.988398,0.994762,0.754680,0.754680,0.804285,0.982835,0.991544,0.994353,43.252230,45.183331,45.664926,95.110542,
162,0.988199,0.978257,0.979543,0.988904,0.993014,1.044076,2.344682,0.803286,0.983489,0.991718,0.994446,43.199170,45.077195,45.547267,95.344430,
163,0.988569,0.978027,0.981206,0.987962,0.993948,1.044076,1.044076,0.804637,0.983918,0.991929,0.994586,43.247997,45.177077,45.505873,95.447254,
164,0.988784,0.977138,0.981252,0.988924,0.993977,2.125875,2.218083,0.802853,0.983514,0.991451,0.994505,43.142403,45.125304,45.514496,96.885806,
165,0.988656,0.978297,0.977639,0.989592,0.994222,1.456308,2.125875,0.803615,0.983205,0.991408,0.994061,43.140827,45.140771,45.616250,95.941548,
166,0.989102,0.978201,0.979032,0.989971,0.994482,1.456308,1.456308,0.802948,0.982996,0.991876,0.995063,43.157098,45.009188,45.502130,96.138914,
167,0.988544,0.978661,0.979063,0.988670,0.994097,1.673759,1.673759,0.802539,0.984665,0.992661,0.995211,43.095549,44.957387,45.507746,96.357789,
